ID,LENGTHPLANTRANS,TIMELINETRANCONSCIENT ,TIMEMAJORCONSCIENT ,TIMEONLINECONSCIENT,FREQADVISTRANS ,HOMEWORKHOURS,FREQAPPOINTUTOR ,ASKHELP,CLASSATTENDANCE,EARLYREADINGMAG ,EARLYREADINGBOOKS ,EARLYREADINGBOOKMAG,EARLYREADINGINTERNET ,HS,GED ,CCDIRECT ,SELFASSESSCOMPUT ,CLASSDISCUSS_UNCOMFORT,FREQCLASSDISUSS ,CONFIDTHIRDFOURTH ,CONFIDTERMPAPER ,CONFIDRESEARCH ,CONFIDTESTPERFORM ,CONFIDORGAN ,CONFIDCLASSDISCUSS ,CAMPUSTIME ,CTIMESOCIALIZING ,CTIMEHW ,CTIMEXTRAC ,CTIMECOMPUTER,TRANSFERDESIRE,ACAD_ACTIVITIES_CLUBS,SOCCULTATTEND,CLOSESTFRBA1,CLOSESTFRBA2,CLOSESTFR3COLL1,CLOSESTFR3COLL2,CLOSESTFR3COLL3,CLOSESTFRBA4,CLOSESTFRBA5,COLLEGEFRIENDSPROP,FREQADVGOALADVISORS ,FREQADVGOALFAC ,FREQADVGOALMENT ,FREQADVGOALPAR ,FREQADVGOALSIB,FREQADVGOALCOLLFR,FREQADVGOALNCOLLFR,PRIADVGOALADVISORS ,PRIADVGOALFAC ,PRIADVGOALMENT ,PRIADVGOALPAR,PRIADVGOALSIB,PRIADVGOALCOLLFR ,PRIADVGOALNCOLLFR ,FREQADVCRSSELADVISORS  ,FREQADVCRSSELFAC ,FREQADVCRSSELMENT ,FREQADVCRSSELPAR ,FREQADVCRSSELSIB ,FREQADVCRSSELCOLLFR ,FREQADVCRSSELNCOLLFR ,PRIADVCRSSELADVISORS ,PRIADVCRSSELFAC ,PRIADVCRSSELMENT ,PRICRSSELPAR,PRICRSSELSIB,PRICRSSELCOLLFR ,PRICRSSELNCOLLFR ,PARTTIMERECENT,CHILDREN ,CHILDRENINTERF ,WORKHRS ,WORKINTERF ,FINANCECHALL ,INDEP ,MARITAL ,MOTHOCCUP,MOTHOCCUPCODE,FATHOCCUP,FATHOCCUPCODE,MOTHEDUC ,FATHEDUC ,MAXPAREDUC,SIB1EDUC ,SIB2EDUC ,SIB3EDUC ,NONNUCEDUC ,PARHOUSEOWNRENT,PARHOUSEOWN ,HSTRAVEL ,AGE ,GENDMALE ,RACE ,DISABILITY ,ENGHOME ,HOMELANG
12,1,1,4,4,1,3,1,5,1,3,3,6,5,Early College Academy,0,2,5,3,2,2,5,4,8,7,8,5,4,1,2,3,1,0,0,1,5,3,5,5,5,5,4,2,10,0,10,0,1,0,1,3,4,2,6,5,7,1,2,3,4,6,5,7,1,2,3,4,6,5,7,0,0,0,1,0,3,0,0,Various,.,Entrepreneur,.,16,12,16,8,. ,. ,2,1,2,1,19,1,3,0,1,.
13,2,4,5,1,2,2,1,1,2,0,0,0,0,Grants High School,0,1,5,3,2,3,8,10,8,10,7,3,5,1,5,5,2,0,0,1,5,3,5,5,5,5,4,1,0,0,1,1,1,0,1,1,2,1,2,2,2,6,0,0,0,0,0,0,1,1,1,1,7,7,7,0,0,0,0,0,3,0,0,none,.,HS college math teacher,.,10,16,16,14,12,14,4,0,1,3,18,0,4,0,0,Spanish
14,1,2,4,1,2,2,1,3,1,0,2,2,10,Manzano High School,0,1,4,3,2,3,5,2,8,10,8,2,5,1,5,5,1,0,0,1,4,2.5,4,3,4,2,4,1,0,0,10,10,10,10,1,3,6,2,5,4,7,1,0,0,10,10,10,0,3,2,4,7,6,5,7,0,0,2,2,1,2,0,0,Human Resources,.,City Police,.,16,16,16,16,.,.,1,1,2,1,18,0,5,0,0,Navajo
15,1,3,4,2,1,2,1,1,1,0,0,0,5,West Mesa,0,1,4,3,2,4,7,7,8,9,10,1,2,1,5,3,3,0,0,1,2,1.5,3,4.5,4,5,2,0,0,0,2,2,2,0,3,7,3,1,2,7,7,2,0,2,2,2,2,0,2,7,7,1,2,7,7,0,0,1,2,1,3,0,0,none ,.,baker,.,6,6,6,12,12,12,1,0,0,2,18,1,4,0,0,Spanish
16,3,1,5,1,1,2,3,4,2,2,0,2,2,Austin HS  El Paso,0,2,4,3,2,3,5,10,10,10,5,5,5,3,4,5,3,1,0,1,5,3,1,5,5,5,4,0,2,0,0,0,2,2,1,1,1,5,5,2,7,2,0,0,0,0,0,0,1,1,2,7,7,1,3,1,0,0,2,3,3,1,0,Zoo Keeper,.,Army,.,14,12,14,12,12,12,1,0,0,2,24,1,3,0,1,.
17,1,2,3,1,2,3,1,1,2,0,3,3,5,Sandia High School,0,1,2,2,1,2,5,5,5,10,4,4,1,3,0,5,2,0,0,1,3,2,2,4.5,5,4,3,2,0,0,2,2,5,1,1,5,3,2,1,4,1,1,0,0,3,2,5,0,1,0,2,2,6,6,7,0,0,2,1,1,2,1,0,State employee,.,Carpenter,.,.,.,.,.,.,.,1,1,2,3,18,0,4,0,1,.
18,3,1,5,2,1,3,1,3,2,0,5,5,2,GED,1,3,5,3,2,3,7,6,6,5,5,3,4,2,3,1,2,0,0,1,5,3,4,2.5,3,2,2,1,1,0,3,0,0,5,2,3,4,1,7,5,6,1,0,0,0,0,0,0,1,2,4,3,7,5,6,0,0,0,2,2,4,1,2,.,.,IT,.,12,16,16,.,.,.,1,1,2,2,26,0,4,0,1,.
19,3,2,5,2,1,1,3,3,2,2,2,4,2,Albuquerque HS,0,2,4,3,1,3,5,6,4,8,7,0,2,3,5,1,3,.,0,3,.,3,.,3,3,.,3,2,0,0,2,0,2,0,2,6,2,5,4,4,7,2,0,2,0,0,0,0,1,2,2,5,6,6,7,0,0,0,0,0,3,0,0,Custodian,.,Manager RadioShack,.,.,.,.,12,.,.,.,0,0,1,19,0,4,0,0,.
20,3,1,3,1,1,2,1,4,2,0,2,2,4,GED Central NM College ,1,3,4,3,2,3,3,3,4,7,7,4,5,1,5,5,1,0,0,1,1,1,5,5,5,5,4,2,0,0,0,3,3,2,1,1,1,1,1,1,1,0,0,0,1,2,1,0,1,1,1,1,1,1,1,1,1,2,0,0,.,1,0,.,.,.,.,.,.,.,.,.,.,1,0,0,0,25,0,5,0,1,.
21,1,2,5,4,2,3,1,4,1,4,10,14,5,Cottonwood Classical Prep,0,1,4,1,2,4,7,8,8,7,9,3,5,1,4,2,3,0,1,4,2,3,1,4,3,5,4,3,4,2,1,5,6,7,2,3,4,1,5,6,7,3,1,0,4,3,5,0,2,3,4,1,5,6,7,0,0,0,2,0,1,0,0,Technician  Medical ) Assistant,.,Heating Air Conditioning Technician,.,14,10,14,.,.,.,1,1,2,1,18,0,4,0,1,.
22,2,1,2,1,1,2,4,1,2,5,0,5,14,Cibola,0,1,3,2,1,2,7,6,7,8,5,1,2,1,5,1,3,0,0,1,5,3,5,5,5,5,4,3,0,0,3,0,2,0,1,2,3,5,6,4,7,3,0,0,0,1,5,0,1,3,2,5,6,4,7,1,0,0,2,2,2,1,1,Assist. Mgr.  Bank ),.,Engineer Intell,.,12,14,14,12,.,.,1,1,2,1,21,0,4,0,1,.
