ID;PARHOUSEOWN;HSTRAVEL;AGE;GENDMALE;RACE;DISABILITY;ENGHOME;HOMELANG



1;0;0;2;23;0;4;0;0;Spanish



2;1;1;18;1;3; ;1;.



3;0;0;0;21;1;4;0;1;.



4;1;2;1;19;1;4;1;1;.



5;0;2;19;1;4;0;1;.



6;2;0;51;0;4;0;1;Spanish



7;0;1;3;18;1;2;0;1; 



8;1;2;1;25;1;5;0;1;.



9;2;0;32;1;4;1;1;.



10;2;1;21;.;3;1;1;.



11;1;2;3;18;1;1;0;1;.



12;2;1;19;1;3;0;1;.

