"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Burundi","BDI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000803592121068546","0.0079794385826602","0.0158427762881167","0.0392044691840327","0.077248447383456","0.106001245363203","0.118228412267794","0.201273196735924","0.349060461879596","0.542142865759056","0.657592590351907","0.7","0.81","0.9","1","1.11","1.21999994477793","1.2642181112","1.38","4.86622446359511","5.17362677652886","",
"Belgium","BEL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00100673961837521","0.0200726449091909","0.100041026825101","0.199446058517075","0.695994689759373","0.991662990076131","2.96841164745362","4.93808090966561","7.88662270071677","13.7722144589561","29.4316916924341","31.2883955056566","46.33","49.97","53.86","55.82","59.72","64.44","66","70","75","81.6099959955952","80.7199905482042","82.1702","85","85.0529","86.5165","",
"Benin","BEN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.0016931001934367","0.0246487957420027","0.0478773038758114","0.15490674072035","0.225247851473369","0.363417890016082","0.7029455951039","0.951327114915695","1.18254096518994","1.27103143947107","1.53785434624704","1.79","1.85","2.24","3.13","4.14832306562512","4.5","4.9","6","11.2549879092022","11.994047908223","",
"Burkina Faso","BFA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.000960518557074445","0.0186863531133987","0.0454234840502704","0.0617802926867843","0.0770801689426014","0.157732464653607","0.200992597925001","0.373440303233526","0.400295285492178","0.469914488656657","0.632707564461829","0.75","0.92","1.13","2.4","3","3.72503491597675","9.1","9.4","11.387646166247","13.96","",
"Bangladesh","BGD","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0.00075104582943988","0.00368481262469867","0.0361704074704913","0.0710394230507683","0.129807973947512","0.13992028850905","0.163877665498048","0.199036333744363","0.24163732563671","1","1.8","2.5","3.1","3.7","4.5","5","6.63","13.9","14.4","18.2469380029449","",
"Bulgaria","BGR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.002339042311872","0.0195266688142058","0.119665549149992","0.725251166566501","1.21981313194706","1.84496512093439","2.90815402505996","5.37092346908696","7.6122977487982","9.08","12.04","18.13","19.97","27.09","33.64","39.67","45","46.23","47.9799930506026","51.8999876658503","53.0615","55.49","56.6563","59.825547661014","",
"Bahrain","BHR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.346205843608434","0.843254219222486","1.64629920170952","3.21820215136814","4.72035811783587","6.15373254647607","15.0386342513918","18.0507208881153","21.5549449917804","21.4586805077435","21.3037335136591","28.2439524318043","32.91","51.95","53","55","76.9999665032303","88","90.0000397","90.5031334814656","93.4783011354165","97.9999807024146","",
"Bahamas, The","BHS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.960030720983071","1.74695069755741","1.36295390281695","2.33559071038067","3.76455782177031","8","11.8","18","20","22","25","26","27","31.54","33.88","43","65","71.7482028146963","72","76.92","78","80","",
"Bosnia and Herzegovina","BIH","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.015125563351607","0.0594255627972207","0.143671059936118","0.194374199768361","1.08296074971207","1.20052695129649","2.64826791361244","3.96503683387051","15.4689716227665","21.3267010007738","25.1223856852117","27.92","34.66","37.74","42.75","43.8876865285545","45.0645004334763","48.5213141734421","49.9177324336354","52.6027298844675","54.7370743874818","",
"Belarus","BLR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0.00048595086881212","0.00292125437494358","0.0292982941361222","0.0490208910370497","0.0738688972841164","0.494881245327084","1.86039812615388","4.30061602151712","8.95097131467325","","","","16.2","19.7","23","27.43","31.8","39.6488956598961","46.91","54.17","59.02","67.3","71.1130457603832","",
"Belize","BLZ","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.0453971799271829","0.882807327300817","1.28858230175161","2.09151639121396","4.07674056438396","5.96383530272428","","5.68425121358763","","9.8","17","24","24.6","26.3","27.2","28.2","30.7","31","33.6","38.7","41.589999999835","44.57574032","",
"Bermuda","BMU","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","6.83816346466949","16.2024660153275","24.1892567447711","32.1037593502199","39.9475887635422","42.9498600152711","47.5096998970623","52.0315973700393","56.5220121836337","60.9908670086326","65.4470657898838","69.8996551617012","74.3505940302669","82.3","83.25","84.21","88.336","91.2993045243401","95.3","96.8","98.3236096537251","98","",
"Bolivia","BOL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.0668075682820113","0.196081173945832","0.44783903590236","0.626484062433397","0.981815187281861","1.4427635847914","2.1204625341365","3.11719294696997","3.50859640072336","4.43992460120042","5.22758395663196","6.20067125473576","10.4992443168903","12.5","16.8","22.4","30","35.34","36.99","34.6","35.56227065","39.6975146032685","",
"Brazil","BRA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.00328817070330394","0.0129462623564468","0.0254982532389746","0.0376727093587832","0.105138167818006","0.450789178949525","0.786079155026595","1.47787495863132","2.03873218351945","2.87068515854108","4.52849486902851","9.14942508560748","13.2075861035303","19.073672274442","21.022747248827","28.1783801797929","30.88","33.83","39.22","40.65","45.69","48.56","51.04","54.5510018796392","58.3279517340924","60.8725400681261","",
"Barbados","BRB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.00775223845885499","0.389464214080689","0.783428911660556","1.97024923652842","2.37624703464172","3.97367835457927","11.9364503383984","27.836322424146","39.6896271159532","49.8","52.5","55.3","58.2","61.4","64.7","65.1","66.5","71.2","71.8","75.16","76.11","79.5493978888735","",
"Brunei Darussalam","BRN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","1.0170801662587","3.30334992716113","4.83105790506005","6.28474284403468","7.67104120576494","8.99628453448726","12.9177690823013","15.329879855735","19.5950032207342","29.7156041447864","36.4663919475782","42.1863491609307","44.68","46","49","53","56","60.2730650423193","64.5","68.77","71.2","90","",
"Bhutan","BTN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0.137571514258829","0.40094444691941","0.864628564215099","1.67580258375242","2.43691239949767","3.15698419613711","3.84710674490143","4.5183172581646","5.92","6.55","7.17","13.6","14.4","15.6","22.4","30.3","39.8","41.7726445321672","",
"Botswana","BWA","Individuals using the Internet (% of population)","IT.NET.USER.ZS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0.0645210409566664","0.157454229629989","0.307746849903244","0.602400929143193","1.12239147360549","2.90266662177209","3.43088678702599","3.38592235064273","3.3451901740614","3.30488925316113","3.26255403605122","4.28993297515968","5.28","6.25","6.15","6","9","16","30","36.74474744423","37.3120503733278","39.36299738","",
"Central African Republic","CAF","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.00584950282150769","0.0142708807245497","0.02787820125385","0.0408942871771328","0.0533941742150456","0.0785434278394038","0.128537116506299","0.151563337940017","0.223401395464406","0.268195609199012","0.311159173235716","0.375815961044797","1","1.8","2","2.2","3","3.4","3.6","3.8","4","",
"Canada","CAN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.360999700586848","0.570385926326173","0.915981040178909","1.18455750906509","2.37869385300003","4.16352525273622","6.76023965049561","15.0723573635834","24.897400303091","36.1864400395459","51.3","60.2","61.5932992681952","64.2","65.9559634648989","71.66","72.4","73.2","76.7","80.3","80.3","83","83","85.8","87.12","88.47","89.84","",
"Central Europe and the Baltics","CEB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.148652395029666","0.389284601550323","0.622021433585318","1.06882929231125","1.79199695109632","3.51530243347893","4.96752181727278","7.05416929289595","10.2393218027297","18.2553190536715","22.5921245778703","29.2447368560949","34.7495541297388","40.7996109435207","45.2842744733139","50.6885905652787","55.1028333732934","58.5992965115256","59.1222464764535","61.7286949263486","63.4756186303987","66.4950362490394","67.3592450170268","71.3504111076453","",
"Switzerland","CHE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.595714223377047","1.17995596994298","1.75171332160464","2.16727020325671","2.72000432910163","3.5520072108588","4.54965674817947","15.1","24.8","34","47.1","55.1","61.4","65.1","67.8","70.1","75.7","77.2","79.2","81.3","83.9","85.1930281804854","85.2","86.34","87.4","87.4790555978675","89.1346877351392","",
"Channel Islands","CHI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.0365489381510097","0.0717831442696916","0.141084506727297","0.346980781428478","0.683475610172851","1.05709249598086","1.66232202183041","4.103419297232","16.6","19.1","22.1","25.4737788864723","28.1779101232438","31.1753470303684","34.4977511736017","35.9","37.3","41.56","45","52.2496072877744","55.05","58","61.11","64.289","66.01","",
"China","CHN","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.000168680270954864","0.0011681145300252","0.00495470950415135","0.0130816917950895","0.0323948609340087","0.168540297316545","0.708187956801324","1.77591320677415","2.63965021485872","4.59570433077551","6.2","7.3","8.52325700269541","10.5231526193851","16","22.6","28.9","34.3","38.3","42.3001174855995","45.8","47.9","50.3","53.2","",
"Cote d'Ivoire","CIV","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.000200255606255825","0.00840977984943001","0.0188283612861277","0.060974438600722","0.118685916651984","0.231461670612799","0.395747702246439","0.497929360753307","0.758669629452205","0.849282414747704","1.03923820514001","1.52490079122527","1.8","1.9","2","2.7","2.9","5","12","19.2742298","21.88520842","26.5272256146313","",
"Cameroon","CMR","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0.00676874429437161","0.0132163405248288","0.129067580946992","0.252120077733662","0.277051321848797","0.360871584267755","0.587622611130454","0.976075415490902","1.40265422575955","2.0287447914719","2.93","3.4","3.84","4.3","5","7.5","10","16.2148722257524","20.6801476606263","25","",
"Congo, Dem. Rep.","COD","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.000108206731817796","0.000211213230126382","0.000413065168672064","0.00100907613529895","0.0059021136806903","0.0114757819210493","0.0927907024606925","0.134914837437335","0.196208375178039","0.238037798692792","0.29605361030881","0.37","0.44","0.56","0.72","1.2","1.679961014645","2.2","3","3.799999507273","6.20997406030119","",
"Congo, Rep.","COG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.00352686039240554","0.00346910364259352","0.00341514308595744","0.0167910491618412","0.0263547320580279","0.0322236164306931","0.157249517243982","0.460014186837522","1.07750492958505","1.46342005950851","2.00799007938159","2.75970437370903","4.28750990276481","4.5","5","5.6","6.10669502435836","6.6","7.11","7.61597466209","8.121949323466","",
"Colombia","COL","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0.107173945315899","0.188046790408001","0.330017772736723","0.550521023153909","1.12622524463277","1.69773079358943","2.207532992624","2.85419997133433","4.6","7.38892371052557","9.1186903029666","11.0072638904585","15.3416745365682","21.8","25.6","30","36.5","40.3509157546318","48.98","51.7","52.57","55.9049725142924","58.1364935728703","",
"Comoros","COM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0","0.0378709698187306","0.148162964444593","0.271740607285909","0.443068372538977","0.554869674985088","0.848189370151537","1.32732717785355","2","2.2","2.5","3","3.5","5.1","5.5","5.97529630842855","6.5","6.98","7.459161385649","7.938322770803","",
"Cabo Verde","CPV","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0.240967919940818","0.472735008391046","1.15998246106519","1.82244385164396","2.68533271272311","3.5187571749658","4.32488539053715","5.31883206957883","6.07408710659813","6.80891100753313","8.28321981953034","14","21","30","32","34.74","37.5","40.26","47.96162392","50.3228178676892","",
"Costa Rica","CRI","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.00111332539161221","0.0815097538496","0.279912478734018","0.416829206101345","0.841057040488486","1.64022128772133","2.66637869776731","3.90432325714263","5.80025302331829","9.55948213497093","19.8948511346293","20.3336148143541","20.7923067055542","22.07","25.1","28.4","32.29","34.33","36.5","39.2121959961842","47.5","45.96","53","59.7629501371681","66.028712851114","",
"Caribbean small states","CSS","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.194517900028695","0.554062811862482","0.902656600936852","1.94061500419424","3.36884638435453","4.92255485519015","8.30832074448147","11.7462745451872","14.8983457766333","16.816699727713","19.4252818916011","22.2939335678315","24.502287466768","27.6745283224914","31.7555302992968","35.4076901105025","42.1843231941824","42.552482473104","45.3352870420212","48.3309139258526","50.8981648475231","53.8099889235788","",
"Cuba","CUB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","9.16580118588969E-05","0.0319490013609362","0.068220213758489","0.226699198908507","0.314690541189058","0.541182548811058","1.07975172188907","3.77058503769014","5.2412690536929","8.40798475900703","9.73806220781346","11.1596013147617","11.69","12.94","14.33","15.9","16.0172907996413","21.2","27.93","29.0701843656523","37.3050974155373","38.76586728","",
"Curacao","CUW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.855510740634","",
"Cayman Islands","CYM","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0","0","3.94896719319563","","","","","","","","","","38.0343830823064","44.5","52","61","64.5","66","69.46594499","69.7","71.4","74.1","77","79","",
"Cyprus","CYP","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.0500604300906094","0.0563674821632149","0.111034620594701","0.410120684846861","0.673343541221418","4.37827209501646","8.8905391589027","11.3423986595347","15.2553943710137","18.8187590408455","28.32","30.09","33.83","32.81","35.83","40.77","42.31","49.81","52.99","56.8598923503507","60.6898684001903","65.4548","69.33","71.7159","75.9003601905124","",
"Czech Republic","CZE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.581319529448969","1.25921783780867","1.4535758401741","1.94037819329252","2.91569869519568","3.89590606502968","6.83280201790214","9.78052788834393","14.6971721171129","23.93","34.3","35.5","35.27","47.93","51.93","62.97","64.43","68.82","70.49","73.4300078241036","74.1104","74.2317116367383","75.668838699279","76.4812013779572","",
"Germany","DEU","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.125892223365436","0.250274153436101","0.435285290207688","0.463635096479496","0.922541043112975","1.8377377536464","3.05480523429391","6.71108747669468","9.87785242805539","20.8459826390268","30.2163466048889","31.650939416316","48.82","55.9","64.73","68.71","72.16","75.16","78","79","82","81.26999953602","82.3499984738392","84.17","86.19","87.5898","89.6471005903368","",
